Id,Label,timeset,lat,lng,kind of node,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
https://www.instagram.com/dreizimmerstudiobad/,dreizimmerstudiobad,,,,a,1,2,13,20,33,13,0.006016,0.471541,0.148394,360.583645,0.057411,5,0.346154,0.363819,657.684742
https://www.instagram.com/circuit.accessories/,circuit.accessories,,51.379874,12.418723,a,1,7,3,10,13,3,0.001388,0.471541,0.143519,51.513355,0.008202,6,0.273107,0.290224,66.523757
https://www.instagram.com/bpb_de/,bpb_de,,,,a,1,7,16,4,20,16,0.007404,0.471541,0.170511,200.037503,0.031849,7,0.21639,0.231112,90.86159
https://www.instagram.com/graustufen.design/,graustufen.design,,,,a,1,3,4,6,10,4,0.001851,0.471541,0.138114,0,0,6,0.253372,0.270231,2166.102773
https://www.instagram.com/diepartei/,diepartei,,,,a,1,7,25,15,40,25,0.011569,0.471541,0.153172,154.45861,0.024592,7,0.226012,0.239873,3466.425324
https://www.instagram.com/linksfraktion/,linksfraktion,,,,a,1,7,11,5,16,11,0.00509,0.471541,0.153514,155.387668,0.02474,7,0.21346,0.22468,225.918909
https://www.instagram.com/hebamme_rosa.de/,hebamme_rosa.de,,,,a,1,1,1,14,15,1,0.000463,0.471541,0.090456,51.473655,0.008195,6,0.292802,0.31064,2058.984377
https://www.instagram.com/parktheateriserlohn/,parktheateriserlohn,,,,a,1,2,,,,,,,,,,,,,
https://www.instagram.com/dazwischentage/,dazwischentage,,,,a,1,1,5,21,26,5,0.002314,0.471541,0.146316,154.641974,0.024622,5,0.312455,0.333356,3160.759211
https://www.instagram.com/dreihorn__3/,dreihorn__3,,,,a,1,6,2,11,13,2,0.000925,0.471541,0.124611,51.51261,0.008202,7,0.213925,0.224797,280.42038
https://www.instagram.com/martinhsonneborn/,martinhsonneborn,,,,a,1,7,32,2,34,32,0.014808,0.471541,0.163435,308.290344,0.049085,8,0.184379,0.191092,250.074413
https://www.instagram.com/biankaholtkotte/,biankaholtkotte,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/bjoern_mags/,bjoern_mags,,,,a,1,1,,,,,,,,,,,,,
https://www.instagram.com/drink_and_draw_dortmund/,drink_and_draw_dortmund,,,,a,1,2,7,12,19,7,0.003239,0.471541,0.152734,309.101471,0.049214,5,0.358744,0.379182,49.264247
https://www.instagram.com/projekt_nordwaerts_dortmund/,projekt_nordwaerts_dortmund,,,,a,1,2,68,20,88,68,0.031467,0.471541,0.176007,1751.547182,0.278876,5,0.337079,0.358534,676.647676
https://www.instagram.com/desiderio_feines_aus_italien/,desiderio_feines_aus_italien,,51.42732,7.989399,a,1,7,12,23,35,12,0.005553,0.471541,0.144338,514.906416,0.081982,5,0.34188,0.373002,1178.994803
https://www.instagram.com/frankkurczyk/,frankkurczyk,,,,a,1,6,2,4,6,2,0.000925,0.471541,0.131788,102.964958,0.016394,6,0.251895,0.26061,14.893312
https://www.instagram.com/doutorailton/,doutorailton,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/esinzi/,esinzi,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/grungyboguez/,grungyboguez,,,,a,1,0,,,,,,,,,,,,,
