Id,Label,timeset,lat,lng,kind of node,cityquartier,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum
https://www.instagram.com/bingo_for_lesbos/,bingo_for_lesbos,,,,a,,1,1,13,52,65,13,0.007238,0.694878,0.248057,1154,0.041235,4,0.421859,0.455728,185.994901,13,52,65,0,464
https://www.instagram.com/muensterssololauf/,muensterssololauf,,,,a,,1,0,49,163,212,49,0.027283,0.694878,0.271596,5454,0.194883,3,0.481089,0.519257,5377.305551,49,163,212,0,464
https://www.instagram.com/westfalenfleiss_gmbh/,westfalenfleiss_gmbh,,,,a,,1,0,64,54,118,64,0.035635,0.694878,0.269068,5016,0.179232,4,0.382722,0.414781,601.724516,64,54,118,0,464
https://www.instagram.com/tanteschoppi/,tanteschoppi,,,,a,,1,2,21,4,25,21,0.011693,0.694878,0.243803,1264,0.045165,4,0.354893,0.374727,50.318926,21,4,25,0,464
https://www.instagram.com/buehnenboden/,buehnenboden,,51.955723,7.64119,a,,1,1,119,186,305,119,0.066258,0.694878,0.292679,10513,0.375652,3,0.475637,0.519853,11990.098898,119,186,305,0,464
https://www.instagram.com/team_auckz/,team_auckz,,,,a,,1,2,22,35,57,22,0.012249,0.694878,0.266505,2332,0.083327,4,0.397679,0.426941,619.652622,22,35,57,0,464
https://www.instagram.com/muenster4life/,muenster4life,,,,a,,1,0,352,197,549,355,0.197661,0.694878,0.349963,24285,0.867755,3,0.463428,0.512805,84727.908268,352,197,549,0,464
https://www.instagram.com/jib_ms/,jib_ms,,,,a,,1,0,66,65,131,66,0.036748,0.694878,0.272193,5267,0.188201,4,0.397773,0.431259,476.406236,66,65,131,0,464
https://www.instagram.com/sozialpalast/,sozialpalast,,51.925764,7.640856,a,,1,2,89,25,114,89,0.049555,0.694878,0.281196,5052,0.180519,4,0.387939,0.417312,1321.985677,89,25,114,0,464
https://www.instagram.com/gemeinwohl.oekonomie.hamburg/,gemeinwohl.oekonomie.hamburg,,,,a,,1,1,7,17,24,7,0.003898,0.694878,0.23649,452,0.016151,5,0.28266,0.299692,133.145978,7,17,24,0,464
https://www.instagram.com/tele.luke/,tele.luke,,,,a,,1,2,31,29,60,31,0.017261,0.694878,0.248341,1729,0.061781,4,0.375447,0.403514,500.787781,31,29,60,0,464
https://www.instagram.com/titusmuenster/,titusmuenster,,51.957318,7.626416,a,,1,0,93,82,175,93,0.051782,0.694878,0.292284,9878,0.352962,3,0.450376,0.479551,4474.234552,93,82,175,0,464
https://www.instagram.com/stadtteilauto_ms/,stadtteilauto_ms,,51.956409,7.633149,a,,1,1,70,125,195,70,0.038976,0.694878,0.270664,6181,0.22086,3,0.433067,0.473298,3314.675552,70,125,195,0,464
https://www.instagram.com/specopsnetwork/,specopsnetwork,,51.959313,7.633962,a,,1,1,48,7,55,48,0.026726,0.694878,0.274172,4028,0.143929,5,0.318173,0.336897,100.982115,48,7,55,0,464
https://www.instagram.com/muehlenhofmuenster/,muehlenhofmuenster,,51.950054,7.599142,a,,1,0,120,201,321,120,0.066815,0.694878,0.293471,11757,0.420103,3,0.476447,0.523427,4565.616409,120,201,321,0,464
https://www.instagram.com/leezenausmuenster/,leezenausmuenster,,,,a,,1,0,74,30,104,74,0.041203,0.694878,0.276005,7044,0.251697,4,0.375279,0.401032,287.762294,74,30,104,0,464
https://www.instagram.com/urbaneliga/,urbaneliga,,,,a,,1,4,50,41,91,50,0.02784,0.694878,0.247986,1413,0.05049,5,0.351844,0.382579,3303.431394,50,41,91,0,464
https://www.instagram.com/theatertitanick/,theatertitanick,,51.973301,7.650347,a,,1,1,71,127,198,72,0.040089,0.694878,0.27804,6912,0.246981,4,0.443828,0.487443,1819.954104,71,127,198,0,464
https://www.instagram.com/yasypaluma/,yasypaluma,,,,a,,1,2,17,21,38,17,0.009465,0.694878,0.242915,1246,0.044522,4,0.369905,0.395424,86.971449,17,21,38,0,464
https://www.instagram.com/bsidemuenster/,bsidemuenster,,51.950322,7.644129,a,,1,1,298,162,460,299,0.166481,0.694878,0.337303,19003,0.679018,4,0.451587,0.50129,46135.322937,298,162,460,0,464
https://www.instagram.com/cafe_lockvogel/,cafe_lockvogel,,51.966671,7.630093,a,,1,1,64,97,161,64,0.035635,0.694878,0.277152,5892,0.210534,4,0.440105,0.478906,1840.054633,64,97,161,0,464
https://www.instagram.com/obmarkuslewe/,obmarkuslewe,,,,a,,1,0,99,95,194,99,0.055122,0.694878,0.287345,9933,0.354927,4,0.405066,0.445305,3427.76709,99,95,194,0,464
https://www.instagram.com/placebotheater/,placebotheater,,51.947911,7.635502,a,,1,1,42,75,117,42,0.023385,0.694878,0.272108,4119,0.147181,3,0.449291,0.477268,677.257392,42,75,117,0,464
https://www.instagram.com/sobi_muenster/,sobi_muenster,,51.956472,7.632438,a,,1,0,34,42,76,34,0.018931,0.694878,0.261286,2822,0.100836,4,0.400716,0.43111,867.975979,34,42,76,0,464
https://www.instagram.com/les_stuttgart/,les_stuttgart,,48.774892,9.183933,a,,1,4,7,16,23,7,0.003898,0.694878,0.232122,462,0.016508,5,0.34834,0.372851,1086.824787,7,16,23,0,464
https://www.instagram.com/konifez/,konifez,,,,a,,1,0,93,228,321,93,0.051782,0.694878,0.295471,9448,0.337597,4,0.477531,0.531963,5894.034168,93,228,321,0,464
https://www.instagram.com/weitblick_muenster/,weitblick_muenster,,51.961757,7.620377,a,,1,0,129,152,281,129,0.071826,0.694878,0.301428,12275,0.438612,4,0.45712,0.502879,6424.447887,129,152,281,0,464
https://www.instagram.com/astafhms/,astafhms,,51.97507,7.598142,a,,1,1,94,56,150,94,0.052339,0.694878,0.292186,8688,0.310441,4,0.40792,0.444411,4221.138762,94,56,150,0,464
https://www.instagram.com/genussgaerten/,genussgaerten,,51.975424,7.709445,a,,1,1,5,9,14,5,0.002784,0.694878,0.250638,828,0.029586,4,0.37875,0.402372,11.13861,5,9,14,0,464
https://www.instagram.com/gemeinwohl.oekonomie.fulda/,gemeinwohl.oekonomie.fulda,,,,a,,1,1,6,4,10,6,0.003341,0.694878,0.234001,521,0.018616,5,0.277934,0.289369,5.286202,6,4,10,0,464
https://www.instagram.com/sozialhelden/,sozialhelden,,,,a,,1,1,11,7,18,11,0.006125,0.694878,0.252756,806,0.0288,5,0.275381,0.2878,303.938428,11,7,18,0,464
https://www.instagram.com/cleanupyouralster/,cleanupyouralster,,53.572434,10.038584,a,,1,1,10,21,31,11,0.006125,0.694878,0.244215,525,0.018759,5,0.285739,0.305043,2435.341722,10,21,31,0,464
https://www.instagram.com/celia.wagner/,celia.wagner,,,,a,,1,1,3,16,19,3,0.00167,0.694878,0.243256,367,0.013114,4,0.376711,0.394977,5527.68802,3,16,19,0,464
https://www.instagram.com/grueneratsfraktionmuenster/,grueneratsfraktionmuenster,,51.956905,7.633259,a,,1,1,50,136,186,50,0.02784,0.694878,0.266669,4340,0.155078,4,0.421647,0.469972,1575.846212,50,136,186,0,464
https://www.instagram.com/iba_2027/,iba_2027,,,,a,,1,4,11,5,16,11,0.006125,0.694878,0.232932,537,0.019188,6,0.263373,0.27706,2.914816,11,5,16,0,464
https://www.instagram.com/indro_e.v/,indro_e.v,,51.958408,7.638276,a,,1,0,22,29,51,22,0.012249,0.694878,0.252536,1396,0.049882,4,0.383158,0.410711,250.619647,22,29,51,0,464
https://www.instagram.com/schlosstheater.ms/,schlosstheater.ms,,51.971288,7.612615,a,,1,0,131,59,190,131,0.07294,0.694878,0.301114,13303,0.475345,4,0.396739,0.428976,1173.295237,131,59,190,0,464
https://www.instagram.com/guut_cc/,guut_cc,,,,a,,1,1,4,17,21,4,0.002227,0.694878,0.230763,350,0.012506,5,0.350668,0.376008,102.128165,4,17,21,0,464
https://www.instagram.com/zukunftsdiskursezusammenhalt11/,zukunftsdiskursezusammenhalt11,,,,a,,1,4,10,27,37,10,0.005568,0.694878,0.233686,520,0.018581,5,0.351476,0.378271,663.384146,10,27,37,0,464
https://www.instagram.com/greenpeace_muenster/,greenpeace_muenster,,51.960444,7.641456,a,,1,1,73,21,94,73,0.040646,0.694878,0.287917,6326,0.226042,4,0.355269,0.378995,1422.638684,73,21,94,0,464
https://www.instagram.com/recycling_in_pieces/,recycling_in_pieces,,51.952508,7.635105,a,,1,2,31,27,58,31,0.017261,0.694878,0.262075,2344,0.083756,4,0.386066,0.41483,729.005665,31,27,58,0,464
https://www.instagram.com/siebdruck_ms/,siebdruck_ms,,51.953853,7.629084,a,,1,2,66,100,166,66,0.036748,0.694878,0.278934,4411,0.157615,4,0.418703,0.457961,4929.057305,66,100,166,0,464
https://www.instagram.com/pieselotten_com/,pieselotten_com,,,,a,,1,0,69,146,215,69,0.038419,0.694878,0.290522,6375,0.227792,3,0.4711,0.508537,3992.979211,69,146,215,0,464
https://www.instagram.com/wwu_muenster/,wwu_muenster,,51.967342,7.599243,a,,1,0,213,56,269,213,0.118597,0.694878,0.314662,17321,0.618917,4,0.383071,0.415823,2803.423396,213,56,269,0,464
https://www.instagram.com/sozialpalast_musik_convoy/,sozialpalast_musik_convoy,,,,a,,1,1,40,33,73,40,0.022272,0.694878,0.254612,2303,0.082291,4,0.400812,0.433691,621.179031,40,33,73,0,464
https://www.instagram.com/liefergruen_com/,liefergruen_com,,51.952178,7.640493,a,,1,0,84,81,165,84,0.046771,0.694878,0.290522,8251,0.294826,4,0.418078,0.453792,1886.02815,84,81,165,0,464
https://www.instagram.com/pg_jugendzentrum/,pg_jugendzentrum,,51.960987,7.635576,a,,1,1,46,0,46,46,0.025612,0.695434,0.264011,3548,0.126778,0,0,0,0,46,0,46,0,121
https://www.instagram.com/tinygreenfootsteps/,tinygreenfootsteps,,,,a,,1,1,33,7,40,33,0.018374,0.694878,0.272022,3304,0.118059,4,0.34863,0.368424,118.084639,33,7,40,0,464
https://www.instagram.com/caritas_muenster/,caritas_muenster,,51.956159,7.603702,a,,1,0,92,124,216,93,0.051782,0.694878,0.279564,7622,0.27235,4,0.427226,0.471412,4212.461614,92,124,216,0,464
https://www.instagram.com/lyrikkeller/,lyrikkeller,,49.162009,20.288779,a,,1,1,25,47,72,25,0.01392,0.694878,0.257331,2247,0.08029,4,0.419855,0.451658,570.463204,25,47,72,0,464
